V1,V2,V3
-120.983333333333,34.9833333333333,-369
-120.95,34.9833333333333,-294
-120.916666666667,34.9833333333333,-227
-120.883333333333,34.9833333333333,-182
-120.85,34.9833333333333,-137
-120.816666666667,34.9833333333333,-104
-120.783333333333,34.9833333333333,-81
-120.75,34.9833333333333,-54
-120.716666666667,34.9833333333333,-37
-120.683333333333,34.9833333333333,-17
-120.65,34.9833333333333,21
-120.616666666667,34.9833333333333,18
-120.583333333333,34.9833333333333,28
-120.55,34.9833333333333,38
-120.516666666667,34.9833333333333,48
-120.483333333333,34.9833333333333,56
-120.45,34.9833333333333,68
-120.416666666667,34.9833333333333,83
-120.383333333333,34.9833333333333,151
-120.35,34.9833333333333,369
-120.316666666667,34.9833333333333,218
-120.283333333333,34.9833333333333,584
-120.25,34.9833333333333,522
-120.216666666667,34.9833333333333,602
-120.183333333333,34.9833333333333,632
-120.15,34.9833333333333,574
-120.116666666667,34.9833333333333,595
-120.083333333333,34.9833333333333,689
-120.05,34.9833333333333,839
-120.016666666667,34.9833333333333,1213
-119.983333333333,34.9833333333333,1367
-119.95,34.9833333333333,969
-119.916666666667,34.9833333333333,775
-119.883333333333,34.9833333333333,739
-119.85,34.9833333333333,698
-119.816666666667,34.9833333333333,671
-119.783333333333,34.9833333333333,638
-119.75,34.9833333333333,610
-119.716666666667,34.9833333333333,622
-119.683333333333,34.9833333333333,640
-119.65,34.9833333333333,662
-119.616666666667,34.9833333333333,773
-119.583333333333,34.9833333333333,849
-119.55,34.9833333333333,832
-119.516666666667,34.9833333333333,963
-119.483333333333,34.9833333333333,893
-119.45,34.9833333333333,907
-119.416666666667,34.9833333333333,898
-119.383333333333,34.9833333333333,807
-119.35,34.9833333333333,662
-119.316666666667,34.9833333333333,563
-119.283333333333,34.9833333333333,547
-119.25,34.9833333333333,639
-119.216666666667,34.9833333333333,692
-119.183333333333,34.9833333333333,775
-119.15,34.9833333333333,778
-119.116666666667,34.9833333333333,755
-119.083333333333,34.9833333333333,1062
-119.05,34.9833333333333,839
-119.016666666667,34.9833333333333,544
-118.983333333333,34.9833333333333,426
-118.95,34.9833333333333,392
-118.916666666667,34.9833333333333,357
-118.883333333333,34.9833333333333,317
-118.85,34.9833333333333,305
-118.816666666667,34.9833333333333,429
-118.783333333333,34.9833333333333,823
-118.75,34.9833333333333,1278
-118.716666666667,34.9833333333333,1529
-118.683333333333,34.9833333333333,1201
-118.65,34.9833333333333,1426
-118.616666666667,34.9833333333333,1804
-118.583333333333,34.9833333333333,1754
-118.55,34.9833333333333,1577
-118.516666666667,34.9833333333333,1311
-118.483333333333,34.9833333333333,1383
-118.45,34.9833333333333,1388
-118.416666666667,34.9833333333333,1251
-118.383333333333,34.9833333333333,1143
-118.35,34.9833333333333,1004
-118.316666666667,34.9833333333333,929
-118.283333333333,34.9833333333333,933
-118.25,34.9833333333333,886
-118.216666666667,34.9833333333333,913
-118.183333333333,34.9833333333333,826
-118.15,34.9833333333333,777
-118.116666666667,34.9833333333333,767
-118.083333333333,34.9833333333333,758
-118.05,34.9833333333333,757
-118.016666666667,34.9833333333333,757
-120.983333333333,34.95,-367
-120.95,34.95,-293
-120.916666666667,34.95,-232
-120.883333333333,34.95,-189
-120.85,34.95,-150
-120.816666666667,34.95,-113
-120.783333333333,34.95,-86
-120.75,34.95,-53
-120.716666666667,34.95,-33
-120.683333333333,34.95,-6
-120.65,34.95,142
-120.616666666667,34.95,104
-120.583333333333,34.95,38
-120.55,34.95,39
-120.516666666667,34.95,52
-120.483333333333,34.95,60
-120.45,34.95,70
-120.416666666667,34.95,82
-120.383333333333,34.95,92
-120.35,34.95,143
-120.316666666667,34.95,246
-120.283333333333,34.95,458
-120.25,34.95,506
-120.216666666667,34.95,573
-120.183333333333,34.95,673
-120.15,34.95,442
-120.116666666667,34.95,617
-120.083333333333,34.95,615
-120.05,34.95,819
-120.016666666667,34.95,863
-119.983333333333,34.95,1039
-119.95,34.95,1383
-119.916666666667,34.95,1246
-119.883333333333,34.95,1012
-119.85,34.95,926
-119.816666666667,34.95,808
-119.783333333333,34.95,746
-119.75,34.95,708
-119.716666666667,34.95,674
-119.683333333333,34.95,686
-119.65,34.95,687
-119.616666666667,34.95,693
-119.583333333333,34.95,712
-119.55,34.95,724
