V1,V2,V3
-120.991666666667,34.9916666666667,-398
-120.975,34.9916666666667,-368
-120.958333333333,34.9916666666667,-333
-120.941666666667,34.9916666666667,-291
-120.925,34.9916666666667,-259
-120.908333333333,34.9916666666667,-222
-120.891666666667,34.9916666666667,-200
-120.875,34.9916666666667,-176
-120.858333333333,34.9916666666667,-153
-120.841666666667,34.9916666666667,-129
-120.825,34.9916666666667,-115
-120.808333333333,34.9916666666667,-101
-120.791666666667,34.9916666666667,-91
-120.775,34.9916666666667,-78
-120.758333333333,34.9916666666667,-64
-120.741666666667,34.9916666666667,-55
-120.725,34.9916666666667,-43
-120.708333333333,34.9916666666667,-38
-120.691666666667,34.9916666666667,-29
-120.675,34.9916666666667,-21
-120.658333333333,34.9916666666667,-5
-120.641666666667,34.9916666666667,27
-120.625,34.9916666666667,30
-120.608333333333,34.9916666666667,30
-120.591666666667,34.9916666666667,25
-120.575,34.9916666666667,27
-120.558333333333,34.9916666666667,31
-120.541666666667,34.9916666666667,34
-120.525,34.9916666666667,39
-120.508333333333,34.9916666666667,44
-120.491666666667,34.9916666666667,50
-120.475,34.9916666666667,54
-120.458333333333,34.9916666666667,61
-120.441666666667,34.9916666666667,68
-120.425,34.9916666666667,92
-120.408333333333,34.9916666666667,115
-120.391666666667,34.9916666666667,137
-120.375,34.9916666666667,181
-120.358333333333,34.9916666666667,278
-120.341666666667,34.9916666666667,260
-120.325,34.9916666666667,215
-120.308333333333,34.9916666666667,371
-120.291666666667,34.9916666666667,577
-120.275,34.9916666666667,663
-120.258333333333,34.9916666666667,688
-120.241666666667,34.9916666666667,575
-120.225,34.9916666666667,651
-120.208333333333,34.9916666666667,524
-120.191666666667,34.9916666666667,471
-120.175,34.9916666666667,445
-120.158333333333,34.9916666666667,577
-120.141666666667,34.9916666666667,650
-120.125,34.9916666666667,687
-120.108333333333,34.9916666666667,638
-120.091666666667,34.9916666666667,702
-120.075,34.9916666666667,727
-120.058333333333,34.9916666666667,881
-120.041666666667,34.9916666666667,869
-120.025,34.9916666666667,1011
-120.008333333333,34.9916666666667,1278
-119.991666666667,34.9916666666667,1355
-119.975,34.9916666666667,1131
-119.958333333333,34.9916666666667,890
-119.941666666667,34.9916666666667,746
-119.925,34.9916666666667,689
-119.908333333333,34.9916666666667,692
-119.891666666667,34.9916666666667,686
-119.875,34.9916666666667,689
-119.858333333333,34.9916666666667,650
-119.841666666667,34.9916666666667,624
-119.825,34.9916666666667,630
-119.808333333333,34.9916666666667,610
-119.791666666667,34.9916666666667,584
-119.775,34.9916666666667,585
-119.758333333333,34.9916666666667,606
-119.741666666667,34.9916666666667,658
-119.725,34.9916666666667,691
-119.708333333333,34.9916666666667,683
-119.691666666667,34.9916666666667,657
-119.675,34.9916666666667,661
-119.658333333333,34.9916666666667,700
-119.641666666667,34.9916666666667,782
-119.625,34.9916666666667,933
-119.608333333333,34.9916666666667,1069
-119.591666666667,34.9916666666667,1039
-119.575,34.9916666666667,1006
-119.558333333333,34.9916666666667,946
-119.541666666667,34.9916666666667,968
-119.525,34.9916666666667,958
-119.508333333333,34.9916666666667,932
-119.491666666667,34.9916666666667,872
-119.475,34.9916666666667,834
-119.458333333333,34.9916666666667,819
-119.441666666667,34.9916666666667,805
-119.425,34.9916666666667,775
-119.408333333333,34.9916666666667,691
-119.391666666667,34.9916666666667,639
-119.375,34.9916666666667,550
-119.358333333333,34.9916666666667,505
-119.341666666667,34.9916666666667,542
-119.325,34.9916666666667,483
-119.308333333333,34.9916666666667,461
-119.291666666667,34.9916666666667,471
-119.275,34.9916666666667,456
-119.258333333333,34.9916666666667,440
-119.241666666667,34.9916666666667,477
-119.225,34.9916666666667,489
-119.208333333333,34.9916666666667,522
-119.191666666667,34.9916666666667,554
-119.175,34.9916666666667,675
-119.158333333333,34.9916666666667,676
-119.141666666667,34.9916666666667,556
-119.125,34.9916666666667,685
-119.108333333333,34.9916666666667,561
-119.091666666667,34.9916666666667,758
-119.075,34.9916666666667,808
-119.058333333333,34.9916666666667,705
-119.041666666667,34.9916666666667,598
-119.025,34.9916666666667,499
-119.008333333333,34.9916666666667,428
-118.991666666667,34.9916666666667,391
-118.975,34.9916666666667,371
-118.958333333333,34.9916666666667,352
-118.941666666667,34.9916666666667,343
-118.925,34.9916666666667,335
-118.908333333333,34.9916666666667,321
-118.891666666667,34.9916666666667,306
-118.875,34.9916666666667,292
-118.858333333333,34.9916666666667,281
-118.841666666667,34.9916666666667,283
-118.825,34.9916666666667,308
-118.808333333333,34.9916666666667,373
-118.791666666667,34.9916666666667,453
-118.775,34.9916666666667,616
-118.758333333333,34.9916666666667,785
-118.741666666667,34.9916666666667,901
-118.725,34.9916666666667,1000
-118.708333333333,34.9916666666667,1144
-118.691666666667,34.9916666666667,963
-118.675,34.9916666666667,1108
-118.658333333333,34.9916666666667,1175
-118.641666666667,34.9916666666667,1409
-118.625,34.9916666666667,1657
-118.608333333333,34.9916666666667,1767
-118.591666666667,34.9916666666667,1676
-118.575,34.9916666666667,1610
-118.558333333333,34.9916666666667,1567
-118.541666666667,34.9916666666667,1533
-118.525,34.9916666666667,1558
-118.508333333333,34.9916666666667,1516
-118.491666666667,34.9916666666667,1546
-118.475,34.9916666666667,1630
-118.458333333333,34.9916666666667,1664
-118.441666666667,34.9916666666667,1672
-118.425,34.9916666666667,1541
-118.408333333333,34.9916666666667,1437
-118.391666666667,34.9916666666667,1316
-118.375,34.9916666666667,1249
-118.358333333333,34.9916666666667,1132
-118.341666666667,34.9916666666667,1054
-118.325,34.9916666666667,1002
