V1,V2,V3
-120.711666666667,34.5916666666667,-69
-120.694935275081,34.5916666666667,-59
-120.678203883495,34.5916666666667,-40
-120.661472491909,34.5916666666667,-26
-120.644741100324,34.5916666666667,-10
-120.628009708738,34.5916666666667,100
-120.611278317152,34.5916666666667,241
-120.594546925566,34.5916666666667,335
-120.577815533981,34.5916666666667,361
-120.561084142395,34.5916666666667,404
-120.544352750809,34.5916666666667,374
-120.527621359223,34.5916666666667,337
-120.510889967638,34.5916666666667,364
-120.494158576052,34.5916666666667,391
-120.477427184466,34.5916666666667,358
-120.46069579288,34.5916666666667,297
-120.443964401294,34.5916666666667,271
-120.427233009709,34.5916666666667,214
-120.410501618123,34.5916666666667,133
-120.393770226537,34.5916666666667,128
-120.377038834951,34.5916666666667,193
-120.360307443366,34.5916666666667,261
-120.34357605178,34.5916666666667,305
-120.326844660194,34.5916666666667,342
-120.310113268608,34.5916666666667,436
-120.293381877023,34.5916666666667,434
-120.276650485437,34.5916666666667,272
-120.259919093851,34.5916666666667,172
-120.243187702265,34.5916666666667,215
-120.22645631068,34.5916666666667,320
-120.209724919094,34.5916666666667,440
-120.192993527508,34.5916666666667,254
-120.176262135922,34.5916666666667,272
-120.159530744337,34.5916666666667,260
-120.142799352751,34.5916666666667,156
-120.126067961165,34.5916666666667,159
-120.109336569579,34.5916666666667,157
-120.092605177994,34.5916666666667,151
-120.075873786408,34.5916666666667,156
-120.059142394822,34.5916666666667,156
-120.042411003236,34.5916666666667,204
-120.02567961165,34.5916666666667,238
-120.008948220065,34.5916666666667,219
-119.992216828479,34.5916666666667,217
-119.975485436893,34.5916666666667,233
-119.958754045307,34.5916666666667,235
-119.942022653722,34.5916666666667,235
-119.925291262136,34.5916666666667,273
-119.90855987055,34.5916666666667,277
-119.891828478964,34.5916666666667,338
-119.875097087379,34.5916666666667,327
-119.858365695793,34.5916666666667,359
-119.841634304207,34.5916666666667,417
-119.824902912621,34.5916666666667,669
-119.808171521036,34.5916666666667,485
-119.79144012945,34.5916666666667,456
-119.774708737864,34.5916666666667,587
-119.757977346278,34.5916666666667,742
-119.741245954693,34.5916666666667,740
-119.724514563107,34.5916666666667,871
-119.707783171521,34.5916666666667,928
-119.691051779935,34.5916666666667,852
-119.67432038835,34.5916666666667,765
-119.657588996764,34.5916666666667,668
-119.640857605178,34.5916666666667,801
-119.624126213592,34.5916666666667,727
-119.607394822006,34.5916666666667,634
-119.590663430421,34.5916666666667,751
-119.573932038835,34.5916666666667,834
-119.557200647249,34.5916666666667,992
-119.540469255663,34.5916666666667,967
-119.523737864078,34.5916666666667,1051
-119.507006472492,34.5916666666667,1177
-119.490275080906,34.5916666666667,1324
-119.47354368932,34.5916666666667,1491
-119.456812297735,34.5916666666667,1588
-119.440080906149,34.5916666666667,1543
-119.423349514563,34.5916666666667,1432
-119.406618122977,34.5916666666667,1520
-119.389886731392,34.5916666666667,1527
-119.373155339806,34.5916666666667,1540
-119.35642394822,34.5916666666667,1570
-119.339692556634,34.5916666666667,1491
-119.322961165049,34.5916666666667,1471
-119.306229773463,34.5916666666667,1481
-119.289498381877,34.5916666666667,1417
-119.272766990291,34.5916666666667,1296
-119.256035598706,34.5916666666667,1207
-119.23930420712,34.5916666666667,1208
-119.222572815534,34.5916666666667,1194
-119.205841423948,34.5916666666667,1193
-119.189110032362,34.5916666666667,1230
-119.172378640777,34.5916666666667,1201
-119.155647249191,34.5916666666667,1127
-119.138915857605,34.5916666666667,1238
-119.122184466019,34.5916666666667,1294
-119.105453074434,34.5916666666667,1354
-119.088721682848,34.5916666666667,1360
-119.071990291262,34.5916666666667,1278
-119.055258899676,34.5916666666667,1251
-119.038527508091,34.5916666666667,1284
-119.021796116505,34.5916666666667,1192
-119.005064724919,34.5916666666667,1114
-118.988333333333,34.5916666666667,902
-120.711666666667,34.575,-79
-120.694935275081,34.575,-67
-120.678203883495,34.575,-47
-120.661472491909,34.575,-29
-120.644741100324,34.575,-18
-120.628009708738,34.575,30
-120.611278317152,34.575,143
-120.594546925566,34.575,159
-120.577815533981,34.575,120
-120.561084142395,34.575,143
-120.544352750809,34.575,276
-120.527621359223,34.575,408
-120.510889967638,34.575,345
-120.494158576052,34.575,508
-120.477427184466,34.575,447
-120.46069579288,34.575,425
-120.443964401294,34.575,335
-120.427233009709,34.575,251
-120.410501618123,34.575,150
-120.393770226537,34.575,174
-120.377038834951,34.575,312
-120.360307443366,34.575,197
-120.34357605178,34.575,307
-120.326844660194,34.575,371
-120.310113268608,34.575,411
-120.293381877023,34.575,451
-120.276650485437,34.575,426
-120.259919093851,34.575,303
-120.243187702265,34.575,298
-120.22645631068,34.575,421
-120.209724919094,34.575,392
-120.192993527508,34.575,253
-120.176262135922,34.575,249
-120.159530744337,34.575,351
-120.142799352751,34.575,225
-120.126067961165,34.575,213
-120.109336569579,34.575,285
-120.092605177994,34.575,241
-120.075873786408,34.575,264
-120.059142394822,34.575,337
-120.042411003236,34.575,436
-120.02567961165,34.575,366
-120.008948220065,34.575,353
-119.992216828479,34.575,373
-119.975485436893,34.575,370
-119.958754045307,34.575,323
-119.942022653722,34.575,282
-119.925291262136,34.575,257
-119.90855987055,34.575,244
-119.891828478964,34.575,251
-119.875097087379,34.575,282
-119.858365695793,34.575,324
-119.841634304207,34.575,373
-119.824902912621,34.575,473
-119.808171521036,34.575,423
-119.79144012945,34.575,518
-119.774708737864,34.575,570
-119.757977346278,34.575,537
-119.741245954693,34.575,639
-119.724514563107,34.575,783
-119.707783171521,34.575,757
-119.691051779935,34.575,717
-119.67432038835,34.575,719
-119.657588996764,34.575,637
-119.640857605178,34.575,714
-119.624126213592,34.575,696
-119.607394822006,34.575,570
-119.590663430421,34.575,715
-119.573932038835,34.575,829
-119.557200647249,34.575,846
-119.540469255663,34.575,802
-119.523737864078,34.575,1011
-119.507006472492,34.575,1154
-119.490275080906,34.575,1298
-119.47354368932,34.575,1470
-119.456812297735,34.575,1637
-119.440080906149,34.575,1583
-119.423349514563,34.575,1504
-119.406618122977,34.575,1330
-119.389886731392,34.575,1298
-119.373155339806,34.575,1558
-119.35642394822,34.575,1453
-119.339692556634,34.575,1474
-119.322961165049,34.575,1563
-119.306229773463,34.575,1509
-119.289498381877,34.575,1355
-119.272766990291,34.575,1181
-119.256035598706,34.575,1114
-119.23930420712,34.575,1117
-119.222572815534,34.575,1078
-119.205841423948,34.575,1081
-119.189110032362,34.575,1048
-119.172378640777,34.575,1030
-119.155647249191,34.575,989
-119.138915857605,34.575,985
-119.122184466019,34.575,1010
-119.105453074434,34.575,1026
-119.088721682848,34.575,989
-119.071990291262,34.575,966
-119.055258899676,34.575,930
-119.038527508091,34.575,855
-119.021796116505,34.575,866
-119.005064724919,34.575,899
-118.988333333333,34.575,928
-120.711666666667,34.5583333333333,-90
-120.694935275081,34.5583333333333,-76
-120.678203883495,34.5583333333333,-66
-120.661472491909,34.5583333333333,-44
-120.644741100324,34.5583333333333,-26
-120.628009708738,34.5583333333333,-19
-120.611278317152,34.5583333333333,-9
-120.594546925566,34.5583333333333,-9
-120.577815533981,34.5583333333333,-8
-120.561084142395,34.5583333333333,-1
-120.544352750809,34.5583333333333,74
-120.527621359223,34.5583333333333,187
-120.510889967638,34.5583333333333,283
-120.494158576052,34.5583333333333,502
-120.477427184466,34.5583333333333,407
-120.46069579288,34.5583333333333,376
-120.443964401294,34.5583333333333,383
-120.427233009709,34.5583333333333,292
-120.410501618123,34.5583333333333,206
-120.393770226537,34.5583333333333,178
-120.377038834951,34.5583333333333,282
-120.360307443366,34.5583333333333,215
-120.34357605178,34.5583333333333,218
-120.326844660194,34.5583333333333,265
-120.310113268608,34.5583333333333,378
-120.293381877023,34.5583333333333,361
-120.276650485437,34.5583333333333,376
-120.259919093851,34.5583333333333,349
-120.243187702265,34.5583333333333,319
-120.22645631068,34.5583333333333,227
-120.209724919094,34.5583333333333,252
-120.192993527508,34.5583333333333,243
-120.176262135922,34.5583333333333,255
-120.159530744337,34.5583333333333,303
-120.142799352751,34.5583333333333,281
-120.126067961165,34.5583333333333,200
-120.109336569579,34.5583333333333,227
-120.092605177994,34.5583333333333,339
-120.075873786408,34.5583333333333,375
-120.059142394822,34.5583333333333,419
-120.042411003236,34.5583333333333,557
-120.02567961165,34.5583333333333,635
-120.008948220065,34.5583333333333,582
-119.992216828479,34.5583333333333,593
-119.975485436893,34.5583333333333,602
-119.958754045307,34.5583333333333,571
-119.942022653722,34.5583333333333,440
-119.925291262136,34.5583333333333,374
-119.90855987055,34.5583333333333,332
-119.891828478964,34.5583333333333,268
-119.875097087379,34.5583333333333,267
-119.858365695793,34.5583333333333,286
-119.841634304207,34.5583333333333,286
-119.824902912621,34.5583333333333,302
-119.808171521036,34.5583333333333,318
-119.79144012945,34.5583333333333,423
-119.774708737864,34.5583333333333,396
-119.757977346278,34.5583333333333,428
-119.741245954693,34.5583333333333,616
-119.724514563107,34.5583333333333,587
-119.707783171521,34.5583333333333,645
-119.691051779935,34.5583333333333,726
-119.67432038835,34.5583333333333,663
-119.657588996764,34.5583333333333,552
-119.640857605178,34.5583333333333,548
-119.624126213592,34.5583333333333,559
-119.607394822006,34.5583333333333,589
-119.590663430421,34.5583333333333,704
-119.573932038835,34.5583333333333,790
-119.557200647249,34.5583333333333,731
-119.540469255663,34.5583333333333,772
-119.523737864078,34.5583333333333,864
-119.507006472492,34.5583333333333,996
-119.490275080906,34.5583333333333,1190
-119.47354368932,34.5583333333333,1514
-119.456812297735,34.5583333333333,1600
-119.440080906149,34.5583333333333,1379
-119.423349514563,34.5583333333333,1254
-119.406618122977,34.5583333333333,1206
-119.389886731392,34.5583333333333,1127
-119.373155339806,34.5583333333333,1363
-119.35642394822,34.5583333333333,1239
